Verifying the constructive collision for composite C (and checking prime C is skipped).
    C         fact    q     m  collide  distinct    maxA_err
    9          3x3    3     3     True      True    4.44e-16
   15          3x5    3     5     True      True    1.33e-15
   21          3x7    3     7     True      True    1.33e-15
   25          5x5    5     5     True      True    2.00e-15
   27        3x3x3    3     9     True      True    6.77e-15
   33         3x11    3    11     True      True    5.22e-15
   35          5x7    5     7     True      True    9.10e-15
   39         3x13    3    13     True      True    7.44e-15
   45        3x3x5    3    15     True      True    1.12e-14
   49          7x7    7     7     True      True    1.47e-14
   51         3x17    3    17     True      True    1.08e-14
   55         5x11    5    11     True      True    1.12e-14
   57         3x19    3    19     True      True    2.61e-14
   63        3x3x7    3    21     True      True    2.11e-14
   65         5x13    5    13     True      True    2.19e-14
   69         3x23    3    23     True      True    1.38e-14
   75        3x5x5    3    25     True      True    4.26e-14
   77         7x11    7    11     True      True    2.89e-14
   81      3x3x3x3    3    27     True      True    3.40e-14
   85         5x17    5    17     True      True    4.13e-14
   87         3x29    3    29     True      True    4.43e-14
   91         7x13    7    13     True      True    5.01e-14
   93         3x31    3    31     True      True    3.92e-14
   95         5x19    5    19     True      True    7.12e-14
   99       3x3x11    3    33     True      True    5.04e-14
  105        3x5x7    3    35     True      True    5.25e-14
  111         3x37    3    37     True      True    4.77e-14
  115         5x23    5    23     True      True    7.07e-14
  117       3x3x13    3    39     True      True    7.64e-14
  119         7x17    7    17     True      True    6.28e-14
  121        11x11   11    11     True      True    6.46e-14
  123         3x41    3    41     True      True    6.68e-14
  125        5x5x5    5    25     True      True    6.47e-14
  129         3x43    3    43     True      True    9.27e-14
  133         7x19    7    19     True      True    1.16e-13
  135      3x3x3x5    3    45     True      True    1.13e-13
  141         3x47    3    47     True      True    1.42e-13
  143        11x13   11    13     True      True    8.34e-14
  145         5x29    5    29     True      True    9.07e-14
  147        3x7x7    3    49     True      True    8.92e-14
  153       3x3x17    3    51     True      True    1.01e-13
  155         5x31    5    31     True      True    1.92e-13
  159         3x53    3    53     True      True    1.08e-13
  161         7x23    7    23     True      True    7.88e-14
  165       3x5x11    3    55     True      True    1.36e-13
  169        13x13   13    13     True      True    9.93e-14
  171       3x3x19    3    57     True      True    1.17e-13
  175        5x5x7    5    35     True      True    1.47e-13
  177         3x59    3    59     True      True    1.28e-13
  183         3x61    3    61     True      True    1.27e-13
  185         5x37    5    37     True      True    1.20e-13
  187        11x17   11    17     True      True    1.71e-13
  189      3x3x3x7    3    63     True      True    1.36e-13
  195       3x5x13    3    65     True      True    9.25e-14
  201         3x67    3    67     True      True    1.32e-13
  203         7x29    7    29     True      True    1.51e-13
  205         5x41    5    41     True      True    1.66e-13
  207       3x3x23    3    69     True      True    3.00e-13
  209        11x19   11    19     True      True    1.55e-13
  213         3x71    3    71     True      True    1.68e-13
  215         5x43    5    43     True      True    2.08e-13
  217         7x31    7    31     True      True    2.12e-13
  219         3x73    3    73     True      True    2.83e-13

Checked 63 composite C in [5,219].  ALL constructed pairs collide & distinct: True
=> CONVERSE OF HYP-2270 verified constructively: composite C => sign-orbit < 2^(n-2).
