  n    C       fact    2^(n-2)      orbit    defic
  5    9        3x3          8          7        1
  8   15        3x5         64         60        4
 11   21        3x7        512        504        8
 13   25        5x5       2048       2044        4
 14   27      3x3x3       4096       4027       69
 17   33       3x11      32768      32736       32
 18   35        5x7      65536      65520       16
 20   39       3x13     262144     262080       64
 23   45      3x3x5    2097152    2088424     8728
 25   49        7x7    8388608    8388592       16
