  n    C      fact   2^(n-2)     orbit   defic  size-hist(size:#classes)
  5    9       3x3         8         7       1  {1: 6, 2: 1}
  8   15       3x5        64        60       4  {1: 56, 2: 4}
 11   21       3x7       512       504       8  {1: 496, 2: 8}
 13   25       5x5      2048      2044       4  {1: 2040, 2: 4}
 14   27     3x3x3      4096      4027      69  {1: 3960, 2: 66, 4: 1}
 17   33      3x11     32768     32736      32  {1: 32704, 2: 32}
 18   35       5x7     65536     65520      16  {1: 65504, 2: 16}
 20   39      3x13    262144    262080      64  {1: 262016, 2: 64}
 23   45     3x3x5   2097152   2088424    8728  {1: 2079768, 2: 8620, 4: 36}
 25   49       7x7   8388608   8388592      16  {1: 8388576, 2: 16}
