======================================================================
SUM b1(T\v) DELETION ANALYSIS — HYP-282
======================================================================

--- n=5 exhaustive (1024 tournaments) ---
  VIOLATION: bits=12, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=28, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=57, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=70, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=72, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=73, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=76, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=78, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=97, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=99, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=105, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=108, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=109, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=121, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=138, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=170, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=185, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=198, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=200, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=201, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=202, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=206, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=209, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=213, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=217, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=218, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=219, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=249, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=277, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=280, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=282, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=284, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=285, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=290, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=294, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=297, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=298, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=299, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=309, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=312, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=313, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=314, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=317, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=323, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=324, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=326, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=327, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=332, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=339, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=340, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=341, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=343, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=348, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=354, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=355, scores=(2, 2, 2, 2, 2), sum=5, b1=1
