k=1;P=3;t=72;h=1028790;constructed_R2=2;max_target=529204946445
k=2;P=15;t=360;h=688235310;constructed_R2=4;max_target=236833921309515705
k=3;P=105;t=2520;h=1676317997970;constructed_R2=8;max_target=1405021015159912621059435
k=4;P=1155;t=27720;h=24596179564703670;constructed_R2=16;max_target=302486024589573221020137238086285
k=5;P=15015;t=360360;h=702631862872574945310;constructed_R2=32;max_target=246845767361892480938758300742811032970705
k=6;P=255255;t=6126120;h=58685435451141169844243070;constructed_R2=64;max_target=1721990167045028400482464402244254101892595543633985
k=7;P=4849845;t=116396280;h=7647951729690773934191624395530;constructed_R2=128;max_target=29245582829840050425087550327195354662803835456468214754188215
k=8;P=111546435;t=2677114440;h=2140210565515371636503566266026900790;constructed_R2=256;max_target=2290250632371813433979076144584555664518436205049815966624895099264762445
k=9;P=3234846615;t=77636318760;h=1513730272263892505960918247886063722787710;constructed_R2=512;max_target=1145689668584059066861802028093501300601319863378541811183817687223701839798724915905
k=10;P=100280245065;t=2406725881560;h=1397961694875976390351194183562758249152249981010;constructed_R2=1024;max_target=977148450170256256943027994002694340465324434184171078726029640282200995156842258973348805300555
RESULT=PASS
