======================================================================
n=6: CYCLE-BASED PREDICTOR FOR d²=0
======================================================================
  56 isomorphism types

  (t3, c4) as predictor: 3 mixed groups out of 19
    (t3=5, c4=6): 2 pass, 2 fail
    (t3=6, c4=7): 2 pass, 5 fail
    (t3=7, c4=9): 2 pass, 4 fail
  (t3, c4, c5) as predictor: 1 mixed groups
  (t3, c4, c5, c6) as predictor: 0 mixed groups

  (score, t3) as predictor: 6 mixed groups
  (score, t3, c4) as predictor: 5 mixed groups

======================================================================
FULL TABLE: ALL n=6 TYPES WITH d²=0 STATUS
======================================================================

  score                      t3  c4  c5  c6    H  d²=0
  ------------------------- --- --- --- --- ---- -----
  (0, 1, 2, 3, 4, 5)          0   0   0   0    1  PASS
  (0, 1, 2, 4, 4, 4)          1   0   0   0    3  PASS
  (0, 1, 3, 3, 3, 5)          1   0   0   0    3  PASS
  (0, 2, 2, 2, 4, 5)          1   0   0   0    3  PASS
  (1, 1, 1, 3, 4, 5)          1   0   0   0    3  PASS
  (1, 1, 1, 4, 4, 4)          2   0   0   0    9  PASS
  (0, 1, 3, 3, 4, 4)          2   1   0   0    5  FAIL
  (0, 2, 2, 3, 3, 5)          2   1   0   0    5  FAIL
  (1, 1, 2, 2, 4, 5)          2   1   0   0    5  FAIL
  (0, 2, 2, 3, 4, 4)          3   2   1   0    9  FAIL
  (1, 1, 2, 3, 3, 5)          3   2   1   0    9  FAIL
  (0, 2, 2, 3, 4, 4)          3   3   1   0    9  FAIL
  (1, 1, 2, 3, 3, 5)          3   3   1   0    9  FAIL
  (0, 2, 3, 3, 3, 4)          4   3   3   0   15  FAIL
  (0, 2, 3, 3, 3, 4)          4   3   2   0   13  FAIL
  (1, 1, 2, 3, 4, 4)          4   3   2   1   17  FAIL
  (1, 2, 2, 2, 3, 5)          4   3   3   0   15  FAIL
  (1, 2, 2, 2, 3, 5)          4   3   2   0   13  FAIL
  (0, 2, 3, 3, 3, 4)          4   4   1   0   11  FAIL
  (1, 1, 2, 3, 4, 4)          4   4   3   1   15  FAIL
  (1, 1, 2, 3, 4, 4)          4   4   3   1   15  FAIL
  (1, 2, 2, 2, 3, 5)          4   4   1   0   11  FAIL
  (1, 1, 2, 3, 4, 4)          4   6   4   1   17  PASS
  (0, 3, 3, 3, 3, 3)          5   5   2   0   15  FAIL
  (1, 1, 3, 3, 3, 4)          5   5   4   2   23  FAIL
  (1, 2, 2, 2, 4, 4)          5   5   4   2   23  FAIL
  (2, 2, 2, 2, 2, 5)          5   5   2   0   15  FAIL
  (1, 1, 3, 3, 3, 4)          5   6   4   1   19  FAIL
  (1, 1, 3, 3, 3, 4)          5   6   6   3   27  PASS
  (1, 2, 2, 2, 4, 4)          5   6   4   1   19  FAIL
  (1, 2, 2, 2, 4, 4)          5   6   6   3   27  PASS
  (1, 2, 2, 3, 3, 4)          6   6   7   3   31  FAIL
  (1, 2, 2, 3, 3, 4)          6   6   7   3   31  FAIL
  (1, 2, 2, 3, 3, 4)          6   6   6   2   29  FAIL
  (1, 2, 2, 3, 3, 4)          6   7   6   2   25  FAIL
  (1, 2, 2, 3, 3, 4)          6   7   8   5   37  FAIL
  (1, 2, 2, 3, 3, 4)          6   7   6   4   33  FAIL
  (1, 2, 2, 3, 3, 4)          6   7   6   2   25  FAIL
  (1, 2, 2, 3, 3, 4)          6   7   4   3   29  FAIL
  (1, 2, 2, 3, 3, 4)          6   7   6   3   29  PASS
  (1, 2, 2, 3, 3, 4)          6   7   6   3   29  PASS
  (1, 2, 2, 3, 3, 4)          6   9   5   1   23  PASS
  (1, 2, 2, 3, 3, 4)          6   9   5   1   23  PASS
  (1, 2, 3, 3, 3, 3)          7   8   9   4   37  FAIL
  (2, 2, 2, 2, 3, 4)          7   8   9   4   37  FAIL
  (1, 2, 3, 3, 3, 3)          7   9   7   4   37  FAIL
  (1, 2, 3, 3, 3, 3)          7   9   7   3   33  FAIL
  (1, 2, 3, 3, 3, 3)          7   9   9   3   33  PASS
  (2, 2, 2, 2, 3, 4)          7   9   9   3   33  PASS
  (2, 2, 2, 2, 3, 4)          7   9   7   4   37  FAIL
  (2, 2, 2, 2, 3, 4)          7   9   7   3   33  FAIL
  (2, 2, 2, 3, 3, 3)          8   9  12   5   45  PASS
  (2, 2, 2, 3, 3, 3)          8  10  11   5   43  PASS
  (2, 2, 2, 3, 3, 3)          8  10  11   5   43  PASS
  (2, 2, 2, 3, 3, 3)          8  12   8   4   41  PASS
  (2, 2, 2, 3, 3, 3)          8  12   6   5   45  PASS

======================================================================
REGULAR PATH COUNT AS PREDICTOR
======================================================================
  Regular path profile as predictor: 0 mixed groups out of 31
  Each regular path profile is unique? False

DONE.
